Alerion Cleanpower|Alerion Cleanpower|ARN.MI|dati/azioni/json/alerioncleanpower.json|dati/azioni/csv/alerioncleanpower.csv|25-02-2023 09:55:57|true
Ferrari|Ferrari||dati/azioni/json/ferrari.json|dati/azioni/csv/ferrari.csv|25-02-2023 08:36:08|true
Fervi|Fervi||dati/azioni/json/fervi.json|dati/azioni/csv/fervi.csv|25-02-2023 08:36:08|true
Fidia|Fidia||dati/azioni/json/fidia.json|dati/azioni/csv/fidia.csv|25-02-2023 08:36:08|true
Fiera Milano|Fiera Milano||dati/azioni/json/fieramilano.json|dati/azioni/csv/fieramilano.csv|25-02-2023 08:36:08|true
Fila|Fila||dati/azioni/json/fila.json|dati/azioni/csv/fila.csv|25-02-2023 08:36:08|true
Finanza.Tech|Finanza.Tech||dati/azioni/json/finanza_tech.json|dati/azioni/csv/finanza_tech.csv|25-02-2023 08:36:08|true
Fincantieri|Fincantieri||dati/azioni/json/fincantieri.json|dati/azioni/csv/fincantieri.csv|25-02-2023 08:36:08|true
Fine Foods & Pharmaceuticals Ntm|Fine Foods & Pharmaceuticals Ntm||dati/azioni/json/finefoods_pharmaceuticalsntm.json|dati/azioni/csv/finefoods_pharmaceuticalsntm.csv|25-02-2023 08:36:08|true
Finecobank|Finecobank||dati/azioni/json/finecobank.json|dati/azioni/csv/finecobank.csv|25-02-2023 08:36:08|true
Finlogic|Finlogic||dati/azioni/json/finlogic.json|dati/azioni/csv/finlogic.csv|25-02-2023 08:36:08|true
ABC Company S.p.A.|ABC Company S.p.A.|ABC.MI|dati/azioni/json/abccompany.json|dati/azioni/csv/abccompany.csv|25-02-2023 09:55:57|true
Alfio Bardolla|Alfio Bardolla|ABTG.MI|dati/azioni/json/alfiobardolla.json|dati/azioni/csv/alfiobardolla.csv|25-02-2023 09:55:57|true
First Capital|First Capital||dati/azioni/json/firstcapital.json|dati/azioni/csv/firstcapital.csv|25-02-2023 08:36:08|true
First Capital 3,75% Cv 2019-2026|First Capital 3,75% Cv 2019-2026||dati/azioni/json/firstcapital3_75_cv2019_2026.json|dati/azioni/csv/firstcapital3_75_cv2019_2026.csv|21-02-2023 21:00:29|true
Fnm|Fnm||dati/azioni/json/fnm.json|dati/azioni/csv/fnm.csv|25-02-2023 08:36:08|true
Fope|Fope||dati/azioni/json/fope.json|dati/azioni/csv/fope.csv|25-02-2023 08:36:08|true
Fos|Fos||dati/azioni/json/fos.json|dati/azioni/csv/fos.csv|25-02-2023 08:36:08|true
Franchetti|Franchetti||dati/azioni/json/franchetti.json|dati/azioni/csv/franchetti.csv|25-02-2023 08:36:08|true
Franchi Umberto Marmi|Franchi Umberto Marmi||dati/azioni/json/franchiumbertomarmi.json|dati/azioni/csv/franchiumbertomarmi.csv|25-02-2023 08:36:08|true
Frendy Energy|Frendy Energy||dati/azioni/json/frendyenergy.json|dati/azioni/csv/frendyenergy.csv|25-02-2023 08:36:08|true
Fresenius|Fresenius||dati/azioni/json/fresenius.json|dati/azioni/csv/fresenius.csv|25-02-2023 08:36:08|true
Fresenius Medical Care|Fresenius Medical Care||dati/azioni/json/freseniusmedicalcare.json|dati/azioni/csv/freseniusmedicalcare.csv|25-02-2023 08:36:08|true
Alfonsino|Alfonsino|ALF.MI|dati/azioni/json/alfonsino.json|dati/azioni/csv/alfonsino.csv|25-02-2023 09:55:57|true
Friulchem|Friulchem||dati/azioni/json/friulchem.json|dati/azioni/csv/friulchem.csv|23-02-2023 21:00:31|true
G Rent|G Rent||dati/azioni/json/grent.json|dati/azioni/csv/grent.csv|22-02-2023 21:00:37|true
G.M. Leather|G.M. Leather||dati/azioni/json/g_m_leather.json|dati/azioni/csv/g_m_leather.csv|25-02-2023 08:36:09|true
Gabetti|Gabetti||dati/azioni/json/gabetti.json|dati/azioni/csv/gabetti.csv|25-02-2023 08:36:09|true
Gambero Rosso|Gambero Rosso||dati/azioni/json/gamberorosso.json|dati/azioni/csv/gamberorosso.csv|25-02-2023 08:36:09|true
Garofalo Health Care|Garofalo Health Care||dati/azioni/json/garofalohealthcare.json|dati/azioni/csv/garofalohealthcare.csv|25-02-2023 08:36:09|true
Gas Plus|Gas Plus||dati/azioni/json/gasplus.json|dati/azioni/csv/gasplus.csv|25-02-2023 08:36:09|true
Gefran|Gefran||dati/azioni/json/gefran.json|dati/azioni/csv/gefran.csv|25-02-2023 08:36:09|true
Gel|Gel||dati/azioni/json/gel.json|dati/azioni/csv/gel.csv|25-02-2023 08:36:09|true
Generalfinance|Generalfinance||dati/azioni/json/generalfinance.json|dati/azioni/csv/generalfinance.csv|25-02-2023 08:36:09|true
Algowatt|Algowatt|ALW.MI|dati/azioni/json/algowatt.json|dati/azioni/csv/algowatt.csv|25-02-2023 09:55:57|true
Generali Ass|Generali Ass|G.MI|dati/azioni/json/generaliass.json|dati/azioni/csv/generaliass.csv|25-02-2023 09:55:58|true
Gentili Mosconi|Gentili Mosconi||dati/azioni/json/gentilimosconi.json|dati/azioni/csv/gentilimosconi.csv|25-02-2023 08:36:09|true
Geox|Geox||dati/azioni/json/geox.json|dati/azioni/csv/geox.csv|25-02-2023 08:36:09|true
Gequity|Gequity||dati/azioni/json/gequity.json|dati/azioni/csv/gequity.csv|25-02-2023 08:36:09|true
